Sl. No.,Timestamp,Node Name,Date,Time,Day of the week,emmState_registered_subscriber_count,emmState_deregistered_subscriber_count,ecmState_connected_subscriber_count,ecmState_idle_subscriber_count,amfRmState_registered_subscriber_count,amfRmState_deregistered_subscriber_count,amfCmState_connected_subscriber_count,amfCmState_idle_subscriber_count,subscriber_count,N2_enabled,N2_disabled,N2_total,N12_enabled,N12_disabled,N12_total,N8_enabled,N8_disabled,N8_total,N11_enabled,N11_disabled,N11_total,N15_enabled,N15_disabled,N15_total,s1mme_enabled,s1mme_disabled,s1mme_total,s6ad_enabled,s6ad_disabled,s6ad_total,s11_enabled,s11_disabled,s11_total,sgs_enabled,sgs_disabled,sgs_total,NT_AMF_PCMD,NT_SGSN_PCMD,NT_MME_PCMD,Resultant_Priority
27,15-04-2024 14:08,CMM-JACK-SRN-ESPOO,15-04-2024,11:38:05,Monday,0,0,0,0,4,0,3,1,4,11,2,13,0,0,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Minor
28,15-04-2024 14:08,AMF NALA,15-04-2024,11:38:04,Monday,0,0,0,0,270,128,121,276,398,560,88,648,3,0,3,2,0,2,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2760,0,0,Critical
29,15-04-2024 14:08,CMM-JERRY-NCS,15-04-2024,11:38:05,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,Trivial
30,15-04-2024 14:08,CMM-SPARROW,15-04-2024,11:38:05,Monday,41,1,38,4,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,2,0,2,2,0,2,2,0,2,0,1027,195,Major
31,15-04-2024 14:08,CMM-LEO,15-04-2024,11:38:05,Monday,4,1,3,2,12,5,2,15,22,24,1,25,2,0,2,2,0,2,2,0,2,0,0,0,23,0,23,4,0,4,3,0,3,2,0,2,49,0,41,Major
32,15-04-2024 14:08,CMM-VIVAN-NCS,15-04-2024,11:38:05,Monday,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,0,1,2,0,2,0,0,0,Trivial
33,15-04-2024 14:08,CMM-SIMA-NCS,15-04-2024,11:38:05,Monday,0,0,0,0,1507,2031,1348,2217,3541,6,0,6,2,0,2,1,0,1,2,0,2,0,0,0,0,0,0,2,0,2,3,0,3,2,0,2,114059,0,0,Blocker
34,15-04-2024 14:08,CMM-SUN,15-04-2024,11:38:05,Monday,2,0,0,2,1,2,0,3,5,3,0,3,1,0,1,1,0,1,2,0,2,0,0,0,13,4,17,4,0,4,3,0,3,2,0,2,7,0,7,Minor
35,15-04-2024 14:08,AMF_JIll,15-04-2024,11:38:05,Monday,0,0,0,0,84,55,27,112,139,272,24,296,4,0,4,3,0,3,4,0,4,0,0,0,0,0,0,4,0,4,0,0,0,2,0,2,466,0,0,Critical
36,15-04-2024 14:08,CMM-NIKE-181,15-04-2024,11:38:05,Monday,311,78,156,230,0,0,0,0,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,659,14,673,5,0,5,8,0,8,2,0,2,0,0,4384,Critical
37,15-04-2024 14:08,CMM-PUMA-SRN-ESPOO,15-04-2024,11:38:06,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,2,0,2,0,0,0,Trivial
38,15-04-2024 14:08,CMM-11-SRN-OULU,15-04-2024,11:38:05,Monday,29696,26444,13841,42452,58507,41386,29064,70322,155894,288,33,321,4,0,4,2,0,2,2,0,2,0,0,0,202,7,209,2,0,2,3,0,3,2,0,2,2772624,0,2753833,Blocker
39,15-04-2024 14:08,CMM-JAMES-SRN-ESPOO,15-04-2024,11:38:07,Monday,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,2,0,2,0,0,0,Minor
40,15-04-2024 14:08,CMM-PETUNIA-SRN-ESPOO,15-04-2024,11:38:08,Monday,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3,0,0,0,2,0,2,0,0,0,Minor
41,15-04-2024 14:28,AMF-SLAB-BLR,15-04-2024,14:28:02,Monday,0,0,0,0,6,1,2,5,7,8,10,18,2,0,2,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Critical
42,15-04-2024 14:28,AMF-GUMPERT-SRN-BLR,15-04-2024,14:28:02,Monday,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Trivial
43,15-04-2024 14:28,TC4-CMM-BILLA-SRN-BLR,15-04-2024,14:28:02,Monday,79,29,39,69,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,14,291,3,0,3,6,1,7,3,0,3,0,0,1063,Critical
44,15-04-2024 14:28,AMF-KODIAQ-SRN-BLR,15-04-2024,14:28:02,Monday,0,0,0,0,147,54,50,151,201,212,33,245,2,0,2,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,0,0,Critical
45,15-04-2024 14:28,TC4-CMM-DOLLY-SRN-BLR,15-04-2024,14:28:02,Monday,1,1,1,1,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,24,3,0,3,3,0,3,3,1,4,0,21,9,Critical
46,15-04-2024 14:28,CMM-SLAB-SRN-BLR,15-04-2024,14:28:02,Monday,3,6,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,20,1,0,1,1,0,1,1,0,1,0,0,15,Major
47,15-04-2024 14:28,CMM-INOX,15-04-2024,14:28:02,Monday,1,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,19,2,2,4,1,0,1,2,0,2,0,17,16,Minor
48,15-04-2024 14:28,TCMM-Nexon-SRN-BLR,15-04-2024,08:58:02,Monday,2,0,1,1,0,0,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,2,0,2,1,0,1,2,0,2,0,0,5,Minor
49,15-04-2024 14:28,CMM-GGN,15-04-2024,14:28:03,Monday,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,1,0,1,1,0,1,1,0,1,0,0,11,Critical
50,15-04-2024 14:28,CMM-LOKI-NCS,15-04-2024,11:58:05,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,2,0,2,0,0,0,Trivial
51,15-04-2024 14:28,NSA-06-CMM,15-04-2024,11:58:04,Monday,2,8,2,8,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,3,0,3,1,0,1,3,0,3,0,0,19,Critical
52,15-04-2024 14:28,AMF-SLAB-ESPOO,15-04-2024,11:58:05,Monday,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Critical
53,15-04-2024 14:28,AMF-03-B,15-04-2024,11:58:05,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Trivial
54,15-04-2024 14:28,AMF3,15-04-2024,11:58:05,Monday,0,0,0,0,171,150,93,231,321,123,27,150,2,0,2,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5156,0,0,Critical
55,15-04-2024 14:28,AMF-SA-07,15-04-2024,11:58:05,Monday,0,0,0,0,6,11,2,15,17,20,11,31,2,0,2,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,Critical
56,15-04-2024 14:28,AMF-SA-05,15-04-2024,11:58:05,Monday,0,0,0,0,5,6,2,9,11,21,8,29,2,0,2,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,Critical
57,15-04-2024 14:28,CMM-NSA-04,15-04-2024,11:58:05,Monday,20,6,14,11,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,35,3,0,3,1,0,1,3,0,3,0,0,369,Critical
58,15-04-2024 14:28,CMM-JOKI-RACK1,15-04-2024,11:58:05,Monday,39450,1991,21644,19886,0,0,0,0,41432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,48,2,0,2,1,0,1,2,0,2,0,0,3216219,Blocker
59,15-04-2024 14:28,cmm-apple-187,15-04-2024,11:58:04,Monday,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,1,0,1,0,408,0,Major
60,15-04-2024 14:28,CMM1,15-04-2024,11:58:05,Monday,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,3,1,0,1,4,0,4,0,233,0,Major
61,15-04-2024 14:28,CMM-SLAB-ESPOO,15-04-2024,11:58:05,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,3,3,0,3,4,0,4,0,0,0,Major
62,15-04-2024 14:28,CMM3 TA,15-04-2024,11:58:04,Monday,469,136,279,331,0,0,0,0,694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,3,0,3,4,0,4,4,0,4,0,712,32478,Critical
63,15-04-2024 14:28,CMM-12-SRN-OULU,15-04-2024,11:58:05,Monday,31976,15439,9100,38277,0,0,0,0,49490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,10,211,3,0,3,3,0,3,2,0,2,0,31238,769303,Blocker
64,15-04-2024 14:28,CMM-01-B-SRN-ESPOO,15-04-2024,11:58:05,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,4,0,0,0,Trivial
65,15-04-2024 14:28,CMM03-B-SRN-Espoo,15-04-2024,11:58:05,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,Trivial
66,15-04-2024 14:28,CMM-STINGRAY-SRN-ESPOO,15-04-2024,11:58:04,Monday,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Minor
67,15-04-2024 14:28,CMM-JACK-SRN-ESPOO,15-04-2024,11:58:05,Monday,0,0,0,0,5,0,3,2,5,11,1,12,0,0,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,Minor
68,15-04-2024 14:28,AMF NALA,15-04-2024,11:58:04,Monday,0,0,0,0,272,133,123,278,406,562,89,651,3,0,3,2,0,2,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2360,0,0,Critical
69,15-04-2024 14:28,CMM-SPARROW,15-04-2024,11:58:04,Monday,41,1,39,3,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,2,0,2,2,0,2,2,0,2,0,998,255,Major
70,15-04-2024 14:28,CMM-JERRY-NCS,15-04-2024,11:58:04,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,Trivial
71,15-04-2024 14:28,CMM-LEO,15-04-2024,11:58:05,Monday,4,2,2,4,19,5,8,15,30,23,2,25,2,0,2,2,0,2,2,0,2,0,0,0,22,1,23,4,0,4,3,0,3,2,0,2,245,0,65,Major
72,15-04-2024 14:28,CMM-SIMA-NCS,15-04-2024,11:58:05,Monday,0,0,0,0,2102,1492,264,3313,3583,6,0,6,2,0,2,1,0,1,2,0,2,0,0,0,0,0,0,2,0,2,3,0,3,2,0,2,41741,0,0,Blocker
73,15-04-2024 14:28,CMM-VIVAN-NCS,15-04-2024,11:58:05,Monday,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,0,1,2,0,2,0,0,0,Trivial
74,15-04-2024 14:28,CMM-SUN,15-04-2024,11:58:04,Monday,2,0,0,2,0,3,0,3,5,3,0,3,1,0,1,1,0,1,2,0,2,0,0,0,13,4,17,4,0,4,3,0,3,2,0,2,9,0,9,Minor
75,15-04-2024 14:28,AMF_JIll,15-04-2024,11:58:04,Monday,0,0,0,0,84,62,24,121,145,266,36,302,4,0,4,3,0,3,4,0,4,0,0,0,0,0,0,4,0,4,0,0,0,2,0,2,414,0,0,Critical
76,15-04-2024 14:28,CMM-NIKE-181,15-04-2024,11:58:04,Monday,320,81,158,246,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,661,18,679,5,0,5,8,0,8,2,0,2,0,0,4349,Critical
77,15-04-2024 14:28,CMM-PUMA-SRN-ESPOO,15-04-2024,11:58:05,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,2,0,2,0,0,0,Trivial
78,15-04-2024 14:28,CMM-11-SRN-OULU,15-04-2024,11:58:05,Monday,36184,23775,18807,41066,60625,49890,26998,82754,170838,288,35,323,4,0,4,2,0,2,2,0,2,0,0,0,205,7,212,2,0,2,3,0,3,2,0,2,2704761,0,2761374,Blocker
79,15-04-2024 14:28,CMM-JAMES-SRN-ESPOO,15-04-2024,11:58:07,Monday,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,2,0,2,0,0,0,Minor
80,15-04-2024 14:28,CMM-PETUNIA-SRN-ESPOO,15-04-2024,11:58:08,Monday,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3,0,0,0,2,0,2,0,0,0,Minor
81,15-04-2024 14:48,AMF-SLAB-BLR,15-04-2024,14:48:02,Monday,0,0,0,0,6,1,2,5,7,10,10,20,2,0,2,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Critical
82,15-04-2024 14:48,AMF-GUMPERT-SRN-BLR,15-04-2024,14:48:02,Monday,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Trivial
83,15-04-2024 14:48,TC4-CMM-BILLA-SRN-BLR,15-04-2024,14:48:02,Monday,79,35,40,72,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,12,291,3,0,3,6,1,7,3,0,3,0,0,1179,Critical
84,15-04-2024 14:48,AMF-KODIAQ-SRN-BLR,15-04-2024,14:48:02,Monday,0,0,0,0,150,53,57,146,203,216,31,247,2,0,2,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033,0,0,Critical
